Review : 1 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Work from home, coworkers are nice, benefits package ok| Cons: A lot of employees have the "not my job" mentality and are quick to pass the ball to someone else. Annual raise doesn't even cover inflation rate. Consistently given more and more work but annual review always "meets expectations". Although "meets expectations" not given full bonus; only response from manager is "I did what I could". Advancement opportunities slim to none, if you don't know the right people (wrong people keep getting promoted)
Review : 33 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: The people are nice, if boring. Depending on what department you work in, you are actually helping people, e.g. counselling.| Cons: The company works in some serious silos so that it's difficult to know what other people are working on and hard to push your projects ahead in terms of priorities. The client value proposition of helping employees feel more engaged can feel bitterly ironic at times. People often feel like they are the "shoemaker's children".
Review : 34 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Approves of CEO| Pros: Inspiring vision and strategy from Executive Leadership.| Cons: Below Executive level, leadership doesn't live the values of the company. VP decision makers are rarely focused on client service. Primary focus is on cost containment. Leadership has a significant Toronto bias that it brings to the rest of the world. Morneau Shepell aspires to be a global wellness company but doesn't have the right people in the right roles to accomplish this goal.
Review : 35 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Ability to work from home. Solid product and market presence to sell.| Cons: Sales commissions have continually been cut with less and less motivation to sell. Yet the drive from upper management and targets remain the same. Job security is hard to come by as there seem to be quarterly sprees of people being let go.
Review : 36 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Small, good environment, good culture| Cons: Lower pay than competitors in industry
Review : 37 : Recommended::N/A | outLook::N/A | CEO: Approves of CEO| Pros: Pro: Flexibility in work schedule| Cons: Employee turn over and renumeration
Review : 38 : Recommended::Doesn't Recommend | outLook::Negative Outlook | CEO: No opinion of CEO| Pros: - Benefits - Matching pension - Periodic snacks and meals - Set amount of work hours - Allow reps to work at home - Supportive co-workers - give incentives to high performers| Cons: - Irregular hours and shift schedule, sometimes on rotation - very repetitive call setting - micromanagement - highly target focused - underpaid for the amount of work you do
Review : 39 : Recommended::Doesn't Recommend | outLook::N/A | CEO: N/A| Pros: the benefit is fine, flexibility| Cons: low pay, poor management, not provide enough training
Review : 40 : Recommended::Recommends | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: good working environment; coworkers are friendly and helpful; good training programs| Cons: low salary increase; not that supportive for innovative ideas.
Review : 41 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: A lot of challenges and opportunities.| Cons: I would like to explore new possibilities outside of the firm.
Review : 42 : Recommended::Recommends | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: They teach you a lot and there's decent support.| Cons: Salaries are lower than some competitors. Expect to be short on staff. You might end up working overtime on for it.
Review : 43 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Fixable time and good balance between work and life| Cons: Human resources has no role
Review : 44 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Knows how to get work done| Cons: Should finish performance reviews on time and as communicated
Review : 45 : Recommended::Doesn't Recommend | outLook::N/A | CEO: No opinion of CEO| Pros: The people that work there are very nice and its a good working environment| Cons: terrible pay, not enough support on a team, over worked.
Review : 46 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: Good work life balance and office location| Cons: Poor benefit package Lack of employee performance recognition and career advice/advancement Tends to hire close friends/family members who do not fit with job description for temporary/student jobs
Review : 47 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Great people to work with| Cons: No support for career advancement
Review : 48 : Recommended::Doesn't Recommend | outLook::Negative Outlook | CEO: No opinion of CEO| Pros: - I worked for Morneau Shepell Children's Support Solutions as a behaviour therapist. The work environment is very laid back, you can have your breaks whenever you want (either with your clients or alone on your scheduled lunch break). - The senior therapists are rarely on site so there aren't many authority figures breathing down your neck. - This is a job that is good for recent grads who need job experience so that they can then move on to a better ABA centre. - The most enjoyable part of the job is being able to work with a diverse range of clients (ie: high and low-functioning ASD, ages 2-17). Home sessions are a gamble - sometimes you get a really good family and other times you don't. They will only make you do home sessions if you have a personal vehicle.| Cons: - The hardest part about the job was not having a lot of training and supervision when it came to crisis prevention. If you have a client that is aggressive, you don't get much support from your senior therapists. - The pay is not that great ($17-20 hourly) with no benefits or vacation days. If your client cancels with more than 24 hrs notice, you do not get paid for that session. However, if the client cancels with less than 24 hrs you can collect 50%. Your income is never consistent. - Everyone is asked if they can work evenings and weekends. I chose to work evenings but not weekends because I needed to consider my work-life balance.
Review : 49 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: - Fast Paced, Lots to learn,| Cons: - Not enough support from the managers and team lead, lack of resources
Review : 50 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Benefits, Full time, Good employees| Cons: Often Understaffed, Micro Management, Employees Underappreciated/Overworked
Review : 51 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: Great place to learns the basic of the market in that field. Paid and study day for SOA exam + small bonus when you pass| Cons: High staff movement, creating short staff in some team.
Review : 52 : Recommended::Recommends | outLook::Negative Outlook | CEO: Approves of CEO| Pros: Good place to get good experience... good work life balance, can work from home.| Cons: Not transparent, too low salary for entry/mid level positions, good talent will go to competitors.
Review : 53 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: You learn more about the Pension Plans of the clients that you work with.| Cons: You are continually doing pension administration and you would feel like a slave after a while.
Review : 54 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: - great place to learn, especially for those just starting their careers - enough task variety within most roles to keep things interesting - good opportunities for promotion or lateral movement within the company - a comprehensive flexible benefits plan, and a dc pension plan with employer contributions - a lot of good people - regular work hours/a good work-life balance| Cons: - an inconsistent company culture, with many dissatisfied employees - frequent uncompensated overtime within some teams and/or departments - below market salaries for most roles - very little flexibility when it comes to work hours - many managers with poor people management skills - poor quality assurance - leadership tends to take on more than the company can handle
Review : 55 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: Great people, various company events, team building activities| Cons: Sub par salary, unstable workload
Review : 56 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: N/A| Pros: Good environment of work, nice colleagues| Cons: Compensation is way below average and no effort from the company to rectify depite the many complaints and meetings about it.
Review : 57 : Recommended::Recommends | outLook::Neutral Outlook | CEO: Approves of CEO| Pros: Colleagues care about their peers in most instances which creates families and positive relationships within teams and practice units. Flexibility .| Cons: Flexibility because it creates blurred lines with staff. We need stricter management policies which say outside of 8-5, delay send must be used or work offline so staff don't feel they have to be working and on all the time. This message should be especially enforced at Director, manager, supervisor level and cascaded from SLT.
Review : 58 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Disapproves of CEO| Pros: People are very friendly, leaders are accessible and seem to genuinely care about employees.| Cons: Stuck in the stone age in terms of internal systems. Very difficult to get anything done without contacting a specific person, but you never know exactly who to call. Very high workload but low pay. The one problem that leaders don't actually care about fixing!!!
Review : 59 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Leader in EFAP services offered. Great team work. High level of education| Cons: No increase in the base salary of new hires in many years. Will quickly launch new services/products prematurely
Review : 60 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: good team environment great colleagues| Cons: -no room to grow -low compensation
Review : 61 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Work life balance and Flexible hours| Cons: Boring, repetitive, no teamwork, slow promotion
Review : 62 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Flexible hours (have to be in from 10am to 3h30pm), lots of support teams (tools, compliance, etc.)| Cons: Underpaid, short staff, never a minute to breath, managers not always best suited for their job
Review : 63 : Recommended::N/A | outLook::Neutral Outlook | CEO: No opinion of CEO| Pros: Benefits plan, friendly environment.| Cons: Low salary, absence of career plan,.
Review : 64 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: -Opportunity for advancement exists, but only if you are in the right circles. -Case Managers are very friendly and actually talk with Co workers| Cons: -Promotions are definitely a show of nepotism -Management hate each other and try to garner people in their own groups, kind of like high school
Review : 65 : Recommended::Doesn't Recommend | outLook::Neutral Outlook | CEO: Disapproves of CEO| Pros: Meetings have food sometimes. Used to have a good social committee.| Cons: Everyone is overworked except management. Hard work does not get you any recognition. They always expect 120%.
Review : 66 : Recommended::Doesn't Recommend | outLook::N/A | CEO: No opinion of CEO| Pros: - Big corporation, opportunity for movement into other departments - Working for a company that provides an important service - Great team| Cons: - No real commitment to work-life balance - Compensation low for a corporate environment
Review : 67 : Recommended::Doesn't Recommend | outLook::Negative Outlook | CEO: No opinion of CEO| Pros: they pay for actuarial exams| Cons: the salary are too low
Review : 68 : Recommended::Doesn't Recommend | outLook::Positive Outlook | CEO: Approves of CEO| Pros: Work place environment is great.| Cons: No opportunity for growth
Review : 69 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: The people are very welcoming and helpful with all questions you may have.| Cons: The rotational shifts mess up your sleep, as well some instructions are not clear for you to follow
Review : 70 : Recommended::Recommends | outLook::Positive Outlook | CEO: No opinion of CEO| Pros: very capable team of people strong dedication to customers lots of opportunities to grow mostly friendly people fast paced, always something different| Cons: direct Managers are good, but always very busy so its sometimes sink or swim lack of recognition for what we do for the company. sometimes feels like we're running out of gas but we're told to make do and still run at 120kms / hour - it doesn't seem like senior managers care or even know we're here.
Review : 71 : Recommended::N/A | outLook::N/A | CEO: N/A| Pros: Provides great exposure to consultancy.| Cons: Inefficient and no work life balance.
